Z,best_Z_so_far,best_iter_so_far,case_id,combined_max_disp_px,combined_mean_disp_px,combined_p95_disp_px,components_at_boundary,dct_enabled,dct_grad_norm,dct_max_disp,dct_mean_disp,dct_num_at_max,dct_num_at_min,dct_p95_disp,dct_param_max,dct_param_mean_abs,dct_param_min,delaunay_enabled,delaunay_grad_norm,delaunay_max_disp,delaunay_mean_disp,delaunay_num_at_max,delaunay_num_at_min,delaunay_p95_disp,delaunay_param_max,delaunay_param_mean_abs,delaunay_param_min,face_id,fft_phase_enabled,fft_phase_grad_norm,fft_phase_max_abs,fft_phase_mean_abs,fft_phase_norm,fft_phase_num_at_max,fft_phase_num_at_min,fft_phase_num_clamped,fft_spatial_delta_mse,foldover_fraction,fraction_clamped_total,identity_angle_degrees,identity_angle_radians,identity_cosine_distance,identity_cosine_similarity_raw,identity_l2_embedding_distance,identity_similarity_score_pct,iter,jacobian_det_min,l2_to_original,learning_rate,legacy_fft_strength_equivalent,loss,mse_to_original,num_at_max_total,num_at_min_total,num_clamped_total,num_total_params,original_embedding_norm,peak_vram_gb,perturbed_embedding_norm,prompt,psnr_to_original,rolling_enabled,rolling_grad_norm,rolling_max_disp,rolling_mean_disp,rolling_num_at_max,rolling_num_at_min,rolling_p95_disp,rolling_param_max,rolling_param_mean_abs,rolling_param_min,seconds_elapsed,seconds_iter,seed,smoothness_tv,ssim_to_original,total_geometry_grad_norm,total_grad_norm,tps_enabled,tps_grad_norm,tps_max_disp,tps_mean_disp,tps_num_at_max,tps_num_at_min,tps_p95_disp,tps_param_max,tps_param_mean_abs,tps_param_min
1.1920928955078125e-07,1.1920928955078125e-07,1,face_002__add_black_sunglasses,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,,1,4.4060114305466413e-05,9.999999974752427e-07,9.999999974752427e-07,0,0,9.999999974752427e-07,0.04997217655181885,0.049185801297426224,-0.04996592551469803,1,5.8245841501047835e-06,9.999999974752427e-07,9.999999974752427e-07,0,0,9.999999974752427e-07,0.04979933053255081,0.017002053558826447,-0.04984552413225174,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.02797645516693592,0.00048828125,1.1920928955078125e-07,0.9999998807907104,0.0006594837759621441,99.99998474121094,1,1.0,9.999999974752427e-07,0.05,0.0,-1.1920928955078125e-07,1.4463690661825623e-13,0,0,0,132,0.9999999403953552,0.4634737968444824,1.0,add black sunglasses,100.0,1,4.947761226503644e-06,9.999999974752427e-07,9.999999974752427e-07,0,0,9.999999974752427e-07,0.049897823482751846,0.049638159573078156,0.04937849938869476,2.951908119022846,0.2712004818022251,250852,0.0,1.0,4.523266034084372e-05,4.523266034084372e-05,1,6.803943961131154e-06,9.999999974752427e-07,9.999999974752427e-07,0,0,9.999999974752427e-07,0.04984455555677414,0.01747470535337925,-0.049862928688526154
0.0010617971420288086,0.0010617971420288086,2,face_002__add_black_sunglasses,0.7962238192558289,0.26974162459373474,0.4704970717430115,,1,0.005231783725321293,0.805557131767273,0.21886315941810608,0,0,0.4260042607784271,0.08749894797801971,0.07224549353122711,-0.0904465988278389,1,0.0008986865286715329,0.07012686133384705,0.02933015674352646,0,0,0.06258702278137207,0.08750521391630173,0.018681559711694717,-0.09066665172576904,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.6405649185180664,0.04608654975891113,0.0010617971420288086,0.9989382028579712,0.04608408361673355,99.8938217163086,2,0.9394404888153076,0.012000060640275478,0.05,0.0,-0.0010617971420288086,0.00014400144573301077,0,0,0,132,0.9999999403953552,0.4869246482849121,1.0,add black sunglasses,38.41633147691438,1,0.0015040949219837785,0.07708334177732468,0.05293194204568863,0,0,0.07692509889602661,0.08723195642232895,0.08692507445812225,0.08661819994449615,3.0236980989575386,0.06729394197463989,250852,0.005119140725582838,0.9989023804664612,0.005609342362731695,0.005609342362731695,1,0.0010115434415638447,0.08772646635770798,0.036427512764930725,0,0,0.07454146444797516,0.08747927099466324,0.01761016622185707,-0.08740104734897614
0.00229567289352417,0.00229567289352417,3,face_002__add_black_sunglasses,1.0360404253005981,0.4412650465965271,0.8064864277839661,,1,0.00726116169244051,1.0871421098709106,0.3479047417640686,0,0,0.7288646101951599,0.13054002821445465,0.10825138539075851,-0.1350167840719223,1,0.0012196996249258518,0.12495791167020798,0.03312496840953827,0,0,0.09397289901971817,0.13063104450702667,0.030085252597928047,-0.13545945286750793,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,3.8830747604370117,0.06777244061231613,0.00229567289352417,0.9977043271064758,0.06776111572980881,99.77043151855469,3,0.9206265807151794,0.018941711634397507,0.05,0.0,-0.00229567289352417,0.00035878841299563646,0,0,0,132,0.9999999403953552,0.4893660545349121,0.9999999403953552,add black sunglasses,34.45161590860143,1,0.0010524607496336102,0.1349346935749054,0.09266947954893112,0,0,0.13466612994670868,0.12917737662792206,0.12886571884155273,0.1285540610551834,3.097775988280773,0.06924604251980782,250852,0.007752755656838417,0.9972644448280334,0.007567259948700666,0.007567259948700666,1,0.0013941334327682853,0.12672744691371918,0.04366065561771393,0,0,0.1070367693901062,0.13049358129501343,0.02675519324839115,-0.1303526908159256
0.004434704780578613,0.004434704780578613,4,face_002__add_black_sunglasses,1.592646837234497,0.6596194505691528,1.2181192636489868,,1,0.008090410381555557,1.4961384534835815,0.5152275562286377,0,0,1.0749648809432983,0.17552389204502106,0.1453622281551361,-0.17688889801502228,1,0.0011926637962460518,0.1857222318649292,0.052002593874931335,0,0,0.1382356882095337,0.17633262276649475,0.042892441153526306,-0.1751076877117157,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,5.397972106933594,0.09421238303184509,0.004434704780578613,0.9955652952194214,0.09417861700057983,99.55652618408203,4,0.8872936964035034,0.027043063193559647,0.05,0.0,-0.004434704780578613,0.0007313272799365222,0,0,0,132,0.9999999403953552,0.4910116195678711,1.0,add black sunglasses,31.35888226240832,1,6.914990080986172e-05,0.19998951256275177,0.1373588889837265,0,0,0.19959962368011475,0.16301383078098297,0.16197624802589417,0.16093866527080536,3.175241220742464,0.07166644930839539,250852,0.011471496894955635,0.9944262504577637,0.008288178592920303,0.008288178592920303,1,0.0013460770715028048,0.18553374707698822,0.06483879685401917,0,0,0.15457847714424133,0.17615912854671478,0.03837854042649269,-0.175899937748909
0.005629837512969971,0.005629837512969971,5,face_002__add_black_sunglasses,2.099067449569702,0.8688861131668091,1.615463376045227,,1,0.008624831214547157,1.8922133445739746,0.6808528900146484,0,0,1.3985329866409302,0.2222966104745865,0.169504776597023,-0.22227278351783752,1,0.0015649456763640046,0.24575874209403992,0.07435089349746704,0,0,0.17975108325481415,0.22351394593715668,0.05401167646050453,-0.2220873087644577,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,6.082603454589844,0.1061614602804184,0.005629837512969971,0.99437016248703,0.10611221939325333,99.43701934814453,5,0.8501494526863098,0.03260837122797966,0.05,0.0,-0.005629837512969971,0.0010633057681843638,0,0,0,132,0.9999999403953552,0.4935469627380371,1.0,add black sunglasses,29.73341830170878,1,0.0009942424949258566,0.2516002058982849,0.17275464534759521,0,0,0.25107285380363464,0.1763181835412979,0.1750681847333908,0.1738181859254837,3.2395260222256184,0.05946682207286358,250852,0.015109477564692497,0.9918953776359558,0.008995765820145607,0.008995765820145607,1,0.0017602603184059262,0.249307319521904,0.09143093228340149,0,0,0.20706707239151,0.22324004769325256,0.0489967055618763,-0.22196899354457855
0.006659984588623047,0.006659984588623047,6,face_002__add_black_sunglasses,2.521466016769409,1.0299434661865234,1.9661442041397095,,1,0.0068182628601789474,2.1342720985412598,0.8106499910354614,0,0,1.6521105766296387,0.2692573070526123,0.18923404812812805,-0.26639091968536377,1,0.0009760366519913077,0.3018699884414673,0.09645159542560577,0,0,0.22170153260231018,0.26682212948799133,0.06531810015439987,-0.2688632309436798,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,6.616305828094482,0.11547631770372391,0.006659984588623047,0.993340015411377,0.11541293561458588,99.33399963378906,6,0.8349696397781372,0.036884989589452744,0.05,0.0,-0.006659984588623047,0.001360502326861024,0,0,0,132,0.9999999403953552,0.4935469627380371,0.9999999403953552,add black sunglasses,28.663007111116848,1,0.0002997548144776374,0.27111944556236267,0.18633948266506195,0,0,0.2705145478248596,0.18390129506587982,0.18202611804008484,0.18015095591545105,3.304342895746231,0.060876281931996346,250852,0.01787251979112625,0.9896305203437805,0.006982739083468914,0.006982739083468914,1,0.001107897493056953,0.30185964703559875,0.11789129674434662,0,0,0.25943663716316223,0.26865145564079285,0.061167847365140915,-0.26855653524398804
0.007861852645874023,0.007861852645874023,7,face_002__add_black_sunglasses,2.8720755577087402,1.17518949508667,2.347989797592163,,1,0.007430971600115299,2.3969714641571045,0.9252758026123047,0,0,1.922252893447876,0.31675422191619873,0.21093055605888367,-0.3057181239128113,1,0.0012287140125408769,0.3557884991168976,0.1183004081249237,0,0,0.2649115324020386,0.3058484196662903,0.07485838979482651,-0.3167421817779541,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,7.189273834228516,0.12547649443149567,0.007861852645874023,0.992138147354126,0.12539522349834442,99.21381378173828,7,0.817269504070282,0.040262918919324875,0.05,0.0,-0.007861852645874023,0.0016211026813834906,0,0,0,132,0.9999999403953552,0.4935469627380371,0.9999999403953552,add black sunglasses,27.901894758696137,1,0.0014953954378142953,0.28169822692871094,0.19365358352661133,0,0,0.2811030149459839,0.17464548349380493,0.17182421684265137,0.169002965092659,3.362329602241516,0.054431939497590065,250852,0.020291689783334732,0.9876442551612854,0.007797866128385067,0.007797866128385067,1,0.0013569943839684129,0.35260042548179626,0.14432212710380554,0,0,0.31015655398368835,0.31075382232666016,0.07308284938335419,-0.31658968329429626
0.009044885635375977,0.009044885635375977,8,face_002__add_black_sunglasses,3.1872410774230957,1.3098994493484497,2.7386062145233154,,1,0.006108566652983427,2.6277740001678467,1.0399750471115112,0,0,2.2154171466827393,0.3651038110256195,0.2312653809785843,-0.3380877375602722,1,0.0010152041213586926,0.4085839092731476,0.1385256052017212,0,0,0.31047523021698,0.3299020528793335,0.08281203359365463,-0.358865350484848,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,7.712000846862793,0.13459980487823486,0.009044885635375977,0.990955114364624,0.13449935615062714,99.09551239013672,8,0.7879441976547241,0.043243471533060074,0.05,0.0,-0.009044885635375977,0.0018699978245422244,0,0,0,132,0.9999999403953552,0.4935469627380371,0.9999999403953552,add black sunglasses,27.281588986987188,1,0.0006344193825498223,0.26749855279922485,0.18353241682052612,0,0,0.26692846417427063,0.16819199919700623,0.1580633670091629,0.14793473482131958,3.4236112162470818,0.05768914707005024,250852,0.022721342742443085,0.9857491850852966,0.00631249975413084,0.00631249975413084,1,0.001048778765834868,0.4179132878780365,0.16924211382865906,0,0,0.3684160113334656,0.3362661600112915,0.08330783993005753,-0.3618544042110443
0.009653925895690918,0.009653925895690918,9,face_002__add_black_sunglasses,3.563588857650757,1.4293575286865234,3.07816743850708,,1,0.0073735276237130165,2.9292445182800293,1.1425065994262695,0,0,2.485592842102051,0.4135255217552185,0.24709179997444153,-0.35966700315475464,1,0.0012770183384418488,0.4531225562095642,0.15673381090164185,0,0,0.35257309675216675,0.35633164644241333,0.08943723142147064,-0.3975973129272461,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,7.967822074890137,0.1390647292137146,0.009653925895690918,0.9903460741043091,0.13895373046398163,99.03460693359375,9,0.7492794394493103,0.04559469595551491,0.05,0.0,-0.009653925895690918,0.002078876132145524,0,0,0,132,0.9999999403953552,0.4935469627380371,1.0,add black sunglasses,26.821713869207283,1,0.0005323992227204144,0.24879398941993713,0.17003561556339264,0,0,0.2482565939426422,0.16860631108283997,0.15016520023345947,0.13172410428524017,3.510505860671401,0.07984631508588791,250852,0.024940963834524155,0.9841580390930176,0.007638234179466963,0.007638234179466963,1,0.0014350885758176446,0.48731857538223267,0.19024872779846191,0,0,0.42409953474998474,0.3523482382297516,0.09098920971155167,-0.3980790078639984
0.01024007797241211,0.01024007797241211,10,face_002__add_black_sunglasses,3.9222724437713623,1.5259835720062256,3.3644542694091797,,1,0.007229367736726999,3.2088844776153564,1.22169029712677,0,0,2.6942672729492188,0.463199257850647,0.2590774893760681,-0.3985995650291443,1,0.0013638216769322753,0.49752742052078247,0.17265741527080536,0,0,0.3897731304168701,0.401338130235672,0.09460703283548355,-0.4289102554321289,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,8.206548690795898,0.14323128759860992,0.01024007797241211,0.9897599220275879,0.14310956001281738,98.97599029541016,10,0.7203422784805298,0.047517236322164536,0.05,0.0,-0.01024007797241211,0.002257887739688158,0,0,0,132,0.9999999403953552,0.4935469627380371,0.9999999403953552,add black sunglasses,26.462976546368946,1,0.000554937869310379,0.2397080361843109,0.162945955991745,0,0,0.23915325105190277,0.17337076365947723,0.14820758998394012,0.12304442375898361,3.6264428794384003,0.0860251672565937,250852,0.026903288438916206,0.9827953577041626,0.007532923016697168,0.007532923016697168,1,0.0015209239209070802,0.5428998470306396,0.2063823938369751,0,0,0.4698355793952942,0.3638901114463806,0.0969875305891037,-0.4234624207019806
0.010891854763031006,0.010891854763031006,11,face_002__add_black_sunglasses,4.189781665802002,1.6112298965454102,3.6176226139068604,,1,0.006022865418344736,3.422283411026001,1.290954351425171,0,0,2.8872005939483643,0.507017970085144,0.26909810304641724,-0.43649429082870483,1,0.0013643403071910143,0.5363509058952332,0.18693968653678894,0,0,0.4255375564098358,0.4466683566570282,0.0987246111035347,-0.457193523645401,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,8.464153289794922,0.1477273404598236,0.010891854763031006,0.989108145236969,0.14759349822998047,98.91081237792969,11,0.6920332908630371,0.049097150564193726,0.05,0.0,-0.010891854763031006,0.002410530112683773,0,0,0,132,0.9999999403953552,0.4935469627380371,1.0,add black sunglasses,26.17887438878874,1,0.0007079388597048819,0.23933550715446472,0.16193237900733948,0,0,0.2387453019618988,0.18181075155735016,0.15255004167556763,0.12328933924436569,3.7106950487941504,0.07423438504338264,250852,0.02871015854179859,0.9816327095031738,0.006405194755643606,0.006405194755643606,1,0.001545641222037375,0.5855224132537842,0.21980226039886475,0,0,0.5067222118377686,0.40751656889915466,0.1022418886423111,-0.4505622684955597
0.011153876781463623,0.011153876781463623,12,face_002__add_black_sunglasses,4.427667140960693,1.6920292377471924,3.8252294063568115,,1,0.008981738239526749,3.6335949897766113,1.358386754989624,0,0,3.059661865234375,0.5253899097442627,0.2732602059841156,-0.464555025100708,1,0.0018412902718409896,0.5720560550689697,0.19871976971626282,0,0,0.45559659600257874,0.49247971177101135,0.10271518677473068,-0.48061513900756836,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,8.565546989440918,0.14949698746204376,0.011153876781463623,0.9888461232185364,0.14935840666294098,98.88461303710938,12,0.6656405329704285,0.050493959337472916,0.05,0.0,-0.011153876781463623,0.002549639903008938,0,0,0,132,0.9999999403953552,0.4935469627380371,0.9999999403953552,add black sunglasses,25.93521152577552,1,0.001407921896316111,0.2477075159549713,0.16721299290657043,0,0,0.247056782245636,0.1753750890493393,0.1468181163072586,0.11826115101575851,3.792148355394602,0.07518370449542999,250852,0.030489886179566383,0.9805730581283569,0.009525801055133343,0.009525801055133343,1,0.0021671797148883343,0.6078309416770935,0.23084686696529388,0,0,0.5324206948280334,0.45263129472732544,0.10514871031045914,-0.47387614846229553
