Z,best_Z_so_far,best_iter_so_far,case_id,combined_max_disp_px,combined_mean_disp_px,combined_p95_disp_px,components_at_boundary,dct_clipped_high_fraction,dct_clipped_low_fraction,dct_coefficient_delta_l1,dct_coefficient_delta_l2,dct_dc_energy,dct_enabled,dct_frequency_mask_mode,dct_gain_grad_norm,dct_gain_l2,dct_gain_max,dct_gain_mean,dct_gain_mean_abs,dct_gain_min,dct_high_frequency_energy_after,dct_high_frequency_energy_before,dct_input_coefficient_energy,dct_low_frequency_energy_after,dct_low_frequency_energy_before,dct_mid_frequency_energy_after,dct_mid_frequency_energy_before,dct_num_at_max,dct_num_at_min,dct_num_clamped,dct_output_coefficient_energy,dct_relative_energy_change,dct_selected_frequency_count,dct_spatial_delta_l1,dct_spatial_delta_l2,dct_spatial_delta_max_abs,dct_spatial_delta_mse,delaunay_enabled,delaunay_grad_norm,delaunay_max_disp,delaunay_mean_disp,delaunay_num_at_max,delaunay_num_at_min,delaunay_p95_disp,delaunay_param_max,delaunay_param_mean_abs,delaunay_param_min,face_id,fft_phase_enabled,fft_phase_grad_norm,fft_phase_max_abs,fft_phase_mean_abs,fft_phase_norm,fft_phase_num_at_max,fft_phase_num_at_min,fft_phase_num_clamped,fft_spatial_delta_mse,foldover_fraction,fraction_clamped_total,identity_angle_degrees,identity_angle_radians,identity_cosine_distance,identity_cosine_similarity_raw,identity_l2_embedding_distance,identity_similarity_score_pct,iter,jacobian_det_min,l2_to_original,learning_rate,legacy_fft_strength_equivalent,loss,mse_to_original,num_at_max_total,num_at_min_total,num_clamped_total,num_total_params,original_embedding_norm,peak_vram_gb,perturbed_embedding_norm,prompt,psnr_to_original,rolling_enabled,rolling_grad_norm,rolling_max_disp,rolling_mean_disp,rolling_num_at_max,rolling_num_at_min,rolling_p95_disp,rolling_param_max,rolling_param_mean_abs,rolling_param_min,seconds_elapsed,seconds_iter,seed,smoothness_tv,ssim_to_original,total_geometry_grad_norm,total_grad_norm,tps_enabled,tps_grad_norm,tps_max_disp,tps_mean_disp,tps_num_at_max,tps_num_at_min,tps_p95_disp,tps_param_max,tps_param_mean_abs,tps_param_min
4.172325134277344e-07,4.172325134277344e-07,1,face_002__add_headphones,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,,1.271565793103946e-06,0.0007845560903660953,0.0,0.0,21.739755630493164,1,all_ac,1.2462855011108331e-05,0.6072733402252197,0.04986794292926788,-0.010184546001255512,0.043273162096738815,-0.04990893602371216,0.00011144015297759324,0.00011144015297759324,0.3422660529613495,0.01602623052895069,0.01602623052895069,0.000688983011059463,0.000688983011059463,0,0,0,0.3422660529613495,0.0,189,1.757341578922933e-07,2.486764572040556e-07,1.3709068298339844e-06,6.183997812523462e-14,1,1.1614869436016306e-05,9.999999974752427e-07,9.999999974752427e-07,0,0,9.999999974752427e-07,0.04991377517580986,0.017763907089829445,-0.04985564947128296,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.05233915522694588,0.0009134905994869769,4.172325134277344e-07,0.9999995827674866,0.0009017754928208888,99.99996185302734,1,1.0,9.999999974752427e-07,0.05,0.0,-4.172325134277344e-07,2.0650045258821526e-13,0,0,0,291,1.0,2.990386486053467,1.0,add headphones,100.0,1,1.968716105693602e-06,9.999999974752427e-07,9.999999974752427e-07,0,0,9.999999974752427e-07,0.049747295677661896,0.04251395910978317,0.03528061881661415,0.5008288733661175,0.07486714236438274,438717,0.0,1.0,2.1487918274942786e-05,2.1487918274942786e-05,1,1.2947079994773958e-05,9.999999974752427e-07,9.999999974752427e-07,0,0,9.999999974752427e-07,0.049925364553928375,0.017676807940006256,-0.049884404987096786
0.0003203153610229492,0.0003203153610229492,2,face_002__add_headphones,0.19395962357521057,0.07653234899044037,0.14285694062709808,,0.0,0.00010172526526730508,0.0007544866530224681,0.0024298490025103092,21.738779067993164,1,all_ac,0.0024808268062770367,0.9993754625320435,0.09630545228719711,-0.025753045454621315,0.06544891744852066,-0.09667825698852539,8.966091991169378e-05,8.906958100851625e-05,0.34217971563339233,0.014868362806737423,0.01579597219824791,0.0006024264148436487,0.0006178666953928769,0,0,0,0.3420432507991791,-0.00039881039992906153,189,0.0014613603707402945,0.002429781248793006,0.03384189307689667,5.9038370636699256e-06,1,0.0006002049194648862,0.07034575194120407,0.027943260967731476,0,0,0.06165085732936859,0.08834636956453323,0.022740626707673073,-0.09554819017648697,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.4502341747283936,0.025311360135674477,0.0003203153610229492,0.999679684638977,0.025313284248113632,99.96797180175781,2,0.992316722869873,0.004080819431692362,0.05,0.0,-0.0003203153610229492,1.665308627707418e-05,0,0,0,291,1.0,2.990386486053467,1.0,add headphones,47.785052679298516,1,0.0014811642467975616,0.06866045296192169,0.04645339772105217,0,0,0.06849180161952972,0.08700649440288544,0.07974715530872345,0.07248780876398087,0.5793380960822105,0.07408814877271652,438717,0.0013379378942772746,0.9998730421066284,0.0030519748106598854,0.0030519748106598854,1,0.000778431014623493,0.07893546670675278,0.033299148082733154,0,0,0.06966893374919891,0.08853807300329208,0.02719193324446678,-0.09020036458969116
0.0012019872665405273,0.0012019872665405273,3,face_002__add_headphones,0.35215991735458374,0.14839038252830505,0.26569482684135437,,0.0,9.1552734375e-05,0.0011129555059596896,0.003970686811953783,21.73824119567871,1,all_ac,0.004896392114460468,1.4058324098587036,0.13519087433815002,-0.039113663136959076,0.09417643398046494,-0.1326194852590561,7.269992056535557e-05,7.277502299984917e-05,0.34211719036102295,0.0142255499958992,0.015622260048985481,0.0005291637498885393,0.0005623712786473334,0,0,0,0.341907262802124,-0.0006136129959486425,189,0.0023735673166811466,0.003970510326325893,0.05858370661735535,1.5764953786856495e-05,1,0.0014251000247895718,0.1302030384540558,0.038390062749385834,0,0,0.09831684082746506,0.12975692749023438,0.03403060883283615,-0.13247449696063995,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.8095133304595947,0.04903525859117508,0.0012019872665405273,0.9987980127334595,0.04903114214539528,99.87979888916016,3,0.986012876033783,0.007397072855383158,0.05,0.0,-0.0012019872665405273,5.4716685554012656e-05,0,0,0,291,1.0,2.990386486053467,1.0,add headphones,42.618802177426,1,0.0031717559322714806,0.12632817029953003,0.0861303061246872,0,0,0.12602698802947998,0.12800233066082,0.12096638977527618,0.11393044143915176,0.6531415171921253,0.07039988785982132,438717,0.002258598804473877,0.9995826482772827,0.006251804530620575,0.006251804530620575,1,0.0017376593314111233,0.14067915081977844,0.05522644519805908,0,0,0.1243121474981308,0.12963049113750458,0.03775690868496895,-0.1322403997182846
0.0027530789375305176,0.0027530789375305176,4,face_002__add_headphones,0.5110810995101929,0.2351352870464325,0.4054398834705353,,5.086263172415784e-06,0.00012461344886105508,0.0015702418750151992,0.005815092474222183,21.737390518188477,1,all_ac,0.007089653052389622,1.8376189470291138,0.18019789457321167,-0.05384591221809387,0.12312254309654236,-0.17871716618537903,5.900020551052876e-05,5.9046869864687324e-05,0.34205684065818787,0.013615469448268414,0.015470274724066257,0.00046933500561863184,0.0005138068227097392,0,0,0,0.34177789092063904,-0.0008155069663189352,189,0.00346754165366292,0.005814321804791689,0.08415576815605164,3.3806340070441365e-05,1,0.002013592980802059,0.182160422205925,0.05778862535953522,0,0,0.14565521478652954,0.1741817444562912,0.04882605001330376,-0.1737109273672104,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,4.252522945404053,0.07422052323818207,0.0027530789375305176,0.9972469210624695,0.0742035061120987,99.72469329833984,4,0.9793054461479187,0.011094209738075733,0.05,0.0,-0.0027530789375305176,0.00012308149598538876,0,0,0,291,1.0,2.990386486053467,1.0,add headphones,39.09807233790756,1,0.004303896799683571,0.19013863801956177,0.13001462817192078,0,0,0.18973135948181152,0.17172712087631226,0.16481465101242065,0.15790218114852905,0.7294846065342426,0.07300134375691414,438717,0.00333985174074769,0.9990602731704712,0.008867817930877209,0.008867817930877209,1,0.002407682128250599,0.21128539741039276,0.08205217123031616,0,0,0.18506008386611938,0.17391346395015717,0.050604309886693954,-0.1736356019973755
0.0047324299812316895,0.0047324299812316895,5,face_002__add_headphones,0.6865136027336121,0.3287794291973114,0.5579648017883301,,1.9073486328125e-05,0.000152587890625,0.0020588459447026253,0.007816282100975513,21.736791610717773,1,all_ac,0.008544898591935635,2.2722604274749756,0.22031840682029724,-0.06799119710922241,0.1495472639799118,-0.22548694908618927,4.897490725852549e-05,4.9654605390969664e-05,0.3420144021511078,0.013093219138681889,0.015364257618784904,0.0004253288498148322,0.00047931395238265395,0,0,0,0.3416728377342224,-0.0009986843215301633,189,0.0046601854264736176,0.007814254611730576,0.11082059144973755,6.106257205829024e-05,1,0.002368782414123416,0.244037464261055,0.08117599785327911,0,0,0.19766780734062195,0.21940621733665466,0.06300585716962814,-0.21759559214115143,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,5.576364517211914,0.09732592105865479,0.0047324299812316895,0.9952675700187683,0.09728825837373734,99.5267562866211,5,0.9721590280532837,0.014897515065968037,0.05,0.0,-0.0047324299812316895,0.00022193595941644162,0,0,0,291,1.0,2.990386486053467,1.0,add headphones,36.53772325028533,1,0.003923223353922367,0.2580854892730713,0.17671619355678558,0,0,0.25755274295806885,0.21765179932117462,0.21082067489624023,0.20398953557014465,0.8037251029163599,0.06996523030102253,438717,0.004495145753026009,0.9983035922050476,0.010072536766529083,0.010072536766529083,1,0.0027272487059235573,0.2902340888977051,0.11259222775697708,0,0,0.25044143199920654,0.2203659862279892,0.06573855876922607,-0.21743547916412354
0.006760656833648682,0.006760656833648682,6,face_002__add_headphones,0.8649952411651611,0.42633166909217834,0.7193863987922668,,3.941854083677754e-05,0.00018056234694086015,0.0025500657502561808,0.009933358058333397,21.736303329467773,1,all_ac,0.008850104175508022,2.7284610271453857,0.26780471205711365,-0.08267560601234436,0.17915523052215576,-0.27157169580459595,4.359948798082769e-05,4.4623669964494184e-05,0.34199094772338867,0.012667493894696236,0.015319254249334335,0.00039950275095179677,0.00046141468919813633,0,0,0,0.3415924310684204,-0.0011652841931208968,189,0.005919480696320534,0.00992894172668457,0.138193279504776,9.858389239525422e-05,1,0.0020904866978526115,0.30900949239730835,0.10477304458618164,0,0,0.24598228931427002,0.26704344153404236,0.07692088186740875,-0.26409533619880676,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,6.66618013381958,0.11634679138660431,0.006760656833648682,0.9932393431663513,0.11628199368715286,99.32393646240234,6,0.9647655487060547,0.018698325380682945,0.05,0.0,-0.006760656833648682,0.0003496273420751095,0,0,0,291,1.0,2.990386486053467,0.9999999403953552,add headphones,34.563946113693916,1,0.00312838819809258,0.3294057250022888,0.22572360932826996,0,0,0.32865482568740845,0.2645229399204254,0.2577608823776245,0.2509988248348236,0.8686895295977592,0.06181314401328564,438717,0.0056714266538619995,0.9973257780075073,0.009897862561047077,0.009897862561047077,1,0.0023423051461577415,0.37216904759407043,0.1445157676935196,0,0,0.31767064332962036,0.2681558132171631,0.08062785863876343,-0.26101166009902954
0.008922815322875977,0.008922815322875977,7,face_002__add_headphones,1.0295236110687256,0.5249700546264648,0.8826829791069031,,9.663899982115254e-05,0.00020853678870480508,0.0031005963683128357,0.012144188396632671,21.736268997192383,1,all_ac,0.00978297833353281,3.1883163452148438,0.3161680996417999,-0.09728184342384338,0.2091296762228012,-0.3179681897163391,4.216473826090805e-05,4.364990672911517e-05,0.34199249744415283,0.012328092940151691,0.015338479541242123,0.0003901018062606454,0.0004609180905390531,0,0,0,0.34153974056243896,-0.001323879580013454,189,0.007234345655888319,0.012137011624872684,0.17262592911720276,0.00014730704424437135,1,0.0020568091422319412,0.37599101662635803,0.1286284327507019,0,0,0.2969426214694977,0.3150772750377655,0.09038501232862473,-0.31090793013572693,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,7.659704685211182,0.1336870640516281,0.008922815322875977,0.991077184677124,0.13358794152736664,99.10771942138672,7,0.9571945667266846,0.022390216588974,0.05,0.0,-0.008922815322875977,0.0005013218033127487,0,0,0,291,1.0,2.990386486053467,1.0,add headphones,32.99883406792296,1,0.0037415644619613886,0.4021815359592438,0.27572840452194214,0,0,0.40131014585494995,0.31241896748542786,0.30577701330184937,0.29913508892059326,0.9335603062063456,0.061185507103800774,438717,0.006848095450550318,0.9961641430854797,0.010933881625533104,0.010933881625533104,1,0.0023692466784268618,0.454515278339386,0.17652082443237305,0,0,0.38591447472572327,0.31547194719314575,0.09536858648061752,-0.30756959319114685
0.011424779891967773,0.011424779891967773,8,face_002__add_headphones,1.2038812637329102,0.6253427267074585,1.0485985279083252,,0.00017801921057980508,0.0002581278677098453,0.0036951079964637756,0.014446191489696503,21.73652458190918,1,all_ac,0.010741367936134338,3.6431338787078857,0.3648737668991089,-0.11101188510656357,0.23964573442935944,-0.3676104247570038,4.3965730583295226e-05,4.628560782293789e-05,0.3420158326625824,0.01208152063190937,0.015421432442963123,0.00039504101732745767,0.0004768715880345553,0,0,0,0.34151190519332886,-0.0014734038850292563,189,0.008603363297879696,0.01443479023873806,0.20890599489212036,0.00020836316980421543,1,0.0021990907844156027,0.4439825117588043,0.1526392549276352,0,0,0.3560214936733246,0.36315402388572693,0.10371311008930206,-0.35868242383003235,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,8.669137001037598,0.15130499005317688,0.011424779891967773,0.9885752201080322,0.1511610895395279,98.8575210571289,8,0.949413537979126,0.026009198278188705,0.05,0.0,-0.011424779891967773,0.0006764784338884056,0,0,0,291,1.0,2.990386486053467,1.0,add headphones,31.697460441403486,1,0.0039334953762590885,0.4766077995300293,0.32687145471572876,0,0,0.475652277469635,0.3611263036727905,0.35466015338897705,0.3481939733028412,1.0070577263832092,0.07044609822332859,438717,0.008040489628911018,0.9948226809501648,0.011939124204218388,0.011939124204218388,1,0.002618648111820221,0.5357453227043152,0.20875833928585052,0,0,0.45432814955711365,0.3609232008457184,0.11022710800170898,-0.35543733835220337
0.014336347579956055,0.014336347579956055,9,face_002__add_headphones,1.3826589584350586,0.7271826267242432,1.2170771360397339,,0.00026702880859375,0.00030644735670648515,0.004294428043067455,0.01676538959145546,21.73664093017578,1,all_ac,0.013989200815558434,4.087657451629639,0.4142666161060333,-0.12389218062162399,0.2694931924343109,-0.41798466444015503,4.540521331364289e-05,4.8602094466332346e-05,0.34203386306762695,0.011893576942384243,0.0154950600117445,0.00039913886575959623,0.0004889037809334695,0,0,0,0.3414895534515381,-0.0015913910465314984,189,0.009979533962905407,0.01674715057015419,0.24317890405654907,0.0002804670366458595,1,0.002131963847205043,0.5108495354652405,0.177029550075531,0,0,0.41814592480659485,0.41269156336784363,0.11720120161771774,-0.407489538192749,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,9.713530540466309,0.16953308880329132,0.014336347579956055,0.985663652420044,0.1693306714296341,98.56636810302734,9,0.9414734840393066,0.029355116188526154,0.05,0.0,-0.014336347579956055,0.0008617228595539927,0,0,0,291,1.0,2.990386486053467,0.9999999403953552,add headphones,30.646323860535265,1,0.004707129672169685,0.5523650050163269,0.3789294362068176,0,0,0.5512207746505737,0.4106965959072113,0.40441402792930603,0.39813145995140076,1.0744502823799849,0.06378376297652721,438717,0.009267125278711319,0.9934035539627075,0.015155995264649391,0.015155995264649391,1,0.0027026119641959667,0.6154713034629822,0.24158695340156555,0,0,0.523760199546814,0.41055524349212646,0.12539900839328766,-0.4043424129486084
0.01741766929626465,0.01741766929626465,10,face_002__add_headphones,1.5662829875946045,0.8301834464073181,1.3895273208618164,,0.00037129721022211015,0.000362396240234375,0.004857870750129223,0.019063148647546768,21.736486434936523,1,all_ac,0.01708061434328556,4.519965648651123,0.46372848749160767,-0.1352224200963974,0.29877734184265137,-0.4689581096172333,4.416424053488299e-05,4.7933976020431146e-05,0.34203311800956726,0.011741864494979382,0.015514581464231014,0.0003943447954952717,0.000486956094391644,0,0,0,0.3414633274078369,-0.0016658931272104383,189,0.011336436495184898,0.019035272300243378,0.27476486563682556,0.0003623416123446077,1,0.002220430877059698,0.5784524083137512,0.20205244421958923,0,0,0.4815642535686493,0.4625810384750366,0.12912151217460632,-0.4429985284805298,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,10.70939826965332,0.18691425025463104,0.01741766929626465,0.9825823307037354,0.18664267659187317,98.25823211669922,10,0.9333677291870117,0.03243204206228256,0.05,0.0,-0.01741766929626465,0.001051837345585227,0,0,0,291,1.0,2.990386486053467,1.0,add headphones,29.78051413581835,1,0.0013482545036822557,0.6294729113578796,0.43191394209861755,0,0,0.6281129717826843,0.45752063393592834,0.45167362689971924,0.44582661986351013,1.1461650859564543,0.06807227991521358,438717,0.010534530505537987,0.9919461607933044,0.01745971478521824,0.01745971478521824,1,0.0025191553868353367,0.6976161599159241,0.2750355005264282,0,0,0.5948252081871033,0.4602421522140503,0.1392432004213333,-0.4493477940559387
